Source,Target
Law Kar Po,Hong Kong
Lee Shau Kee,Hong Kong
Samuel Tak Lee,Hong Kong
Edwin Leong,Hong Kong
Li Wa,Hong Kong
Li Sze Lim,Hong Kong
Lin Dingqiang & family,Hong Kong
Vincent Lo,Hong Kong
Or Wai Sheun,Hong Kong
Peter Woo,Hong Kong
Gordon Wu,Hong Kong
Yu Peidi,Hong Kong
Rita Tong Liu,Hong Kong
Michael Ying,Hong Kong
Tung Chee Chen,Hong Kong
Tung Chee Hwa,Hong Kong
Huang Dawen,Hong Kong
Lam Wai-ying,Hong Kong
Zhou Qunfei & family,Hong Kong
Huang Jiangji,Hong Kong
Richard Li,Hong Kong
Gong Hongjia & family,Hong Kong
Lorinc Meszaros,Hungary
Sandor Csanyi,Hungary
David Helgason,Iceland
Thor Bjorgolfsson,Iceland
Madhukar Parekh,India
Narendrakumar Parekh,India
Ajay Parekh,India
Sushilkumar Parekh,India
Rajju Shroff,India
Salil Singhal,India
Achal Bakeri,India
Kapil & Rahul Bhatia,India
Anurang Jain,India
Nirmal Minda,India
Abhay Firodia,India
Sanjay Agarwal,India
Uday Kotak,India
Kiran Mazumdar-Shaw,India
Radha Vembu,India
Sekar Vembu,India
Benu Gopal Bangur,India
Jai Hari & Yadu Hari Dalmia & family,India
Kavita Singhania,India
Arun Bharat Ram,India
Devendra Jain,India
Deepak Mehta,India
Vinod Saraf,India
Kumar Birla,India
Harindarpal Banga,India
Ravi Pillai,India
Radhe Shyam Agarwal,India
Acharya Balkrishna,India
Vivek Chand Burman,India
Anand Burman,India
Amit Burman,India
Pradip Burman,India
Smita Crishna-Godrej,India
Adi Godrej,India
Jamshyd Godrej,India
Nadir Godrej,India
Radhe Shyam Goenka,India
Harsh Mariwala,India
Kishore Mariwala,India
Rishad Naoroji,India
Karsanbhai Patel,India
Nusli Wadia,India
R.G. Chandramogan,India
Mukesh Ambani,India
Bajaj brothers,India
Rahul Bajaj,India
Shyam & Hari Bhartia,India
Sanjiv Goenka,India
Harsh Goenka,India
Anand Mahindra,India
Rajan Raheja & family,India
Shashi & Ravi Ruia,India
Ranjan Pai,India
Sunny Varkey,India
Byju Raveendran and Divya Gokulnath,India
Kochouseph Chittilappilly,India
Surjit Kumar Gupta,India
Vinod & Anil Rai Gupta,India
Sunil Vachani,India
Anu Aga,India
Baba Kalyani,India
Bhadresh Shah,India
Hemendra Kothari,India
George Jacob Muthoot,India
George Thomas Muthoot,India
George Alexander Muthoot,India
Vijay Shekhar Sharma,India
Sachin Bansal,India
Binny Bansal,India
Ramesh Kumar Dua,India
Mukand Lal Dua,India
Rafique Malik,India
Krishna Kumar Bangur,India
Prathap Reddy,India
Analjit Singh,India
P.P. Reddy,India
P.V.Krishna Reddy,India
Gautam Adani & family,India
Sanjeev Bikhchandani,India
Rakesh Jhunjhunwala,India
G. Rajendran,India
T.S. Kalyanaraman,India
Rahul Gautam,India
Kalanithi Maran,India
Arvind Lal,India
Anil Agarwal & family,India
Vikram Lal & family,India
Pawan Munjal & family,India
Arvind Tiku,India
Mahendra Choksi & family,India
Ashwin Dani & family,India
Kuldip Singh & Gurbachan Singh Dhingra,India
Abhay Vakil & family,India
Aloke Lohia,India
Rajendra Agarwal,India
Chirayu Amin,India
Girdhari Lal Bawri,India
Banwari Lal Bawri,India
Hasmukh Chudgar & family,India
Murali Divi & family,India
Premchand Godha,India
Yusuf Hamied,India
Pankaj Patel,India
Ajay Piramal,India
Mahendra Prasad,India
G.V. Prasad,India
P.V. Ramprasad Reddy,India
Satish Reddy,India
M.Satyanarayana Reddy,India
Dilip Shanghvi,India
Basudeo Singh,India
Leena Tewari,India
Samir Mehta,India
Sudhir Mehta,India
Sandeep Engineer,India
Niranjan Hiranandani,India
Mangal Prabhat Lodha,India
Mofatraj Munot,India
Vikas Oberoi,India
Chandru Raheja,India
Subhash Runwal,India
Kushal Pal Singh,India
Jitendra Virwani,India
Micky Jagtiani,India
M.A. Yusuff Ali,India
Radhakishan Damani,India
Gopikishan Damani,India
Ravi Jaipuria,India
K. Dinesh,India
Senapathy Gopalakrishnan,India
N.R. Narayana Murthy,India
Shiv Nadar,India
Nandan Nilekani,India
Azim Premji,India
S.D. Shibulal,India
Savitri Jindal & family,India
Lakshmi Mittal,India
Sunil Mittal & family,India
Balkrishan Goenka,India
Ashok Kajaria,India
Arvind Poddar,India
Lachhman Das Mittal,India
Cyrus Poonawalla,India
Jerry Ng,Indonesia
R. Budi Hartono,Indonesia
Michael Hartono,Indonesia
Low Tuck Kwong,Indonesia
Edwin Soeryadjaya,Indonesia
Murdaya Poo,Indonesia
Theodore Rachmat,Indonesia
Mochtar Riady & family,Indonesia
Tahir & family,Indonesia
Chairul Tanjung,Indonesia
Sukanto Tanoto,Indonesia
Peter Sondakh,Indonesia
Susanto Suwarto,Indonesia
Hary Tanoesoedibjo,Indonesia
Eddy Kusnadi Sariaatmadja,Indonesia
Martua Sitorus,Indonesia
Lim Hariyanto Wijaya Sarwono,Indonesia
Winarko Sulistyo,Indonesia
Sri Prakash Lohia,Indonesia
Prajogo Pangestu,Indonesia
Alexander Tedja,Indonesia
Djoko Susanto,Indonesia
Eugene Murtagh,Ireland
John Dorrance III,Ireland
Pallonji Mistry,Ireland
Dermot Desmond,Ireland
John Armitage,Ireland
Patrick Collison,Ireland
John Collison,Ireland
John Grayken,Ireland
Denis O'Brien,Ireland
Shmuel Harlap,Israel
Ziv Aviram,Israel
Amnon Shashua,Israel
Zadik Bino & family,Israel
Shari Arison,Israel
Drorit Wertheim,Israel
David Wertheim,Israel
Michael Federmann & family,Israel
Idan Ofer,Israel
Teddy Sagi,Israel
David Fattal & family,Israel
Liora Ofer,Israel
Stef Wertheimer & family,Israel
Dan Gertler,Israel
Arnon Milchan,Israel
Mori Arkin,Israel
Danna Azrieli,Israel
Yitzhak Tshuva,Israel
Eyal Ofer,Israel
Shay Banon,Israel
Morris Kahn,Israel
Marius Nacht,Israel
Gil Shwed,Israel
Shalom Meckenzie,Israel
Yuri Milner,Israel
Shaul Shani,Israel
Adam Neumann,Israel
Piero Ferrari,Italy
Alberto Bombassei,Italy
Gustavo Denegri,Italy
Augusto & Giorgio Perfetti,Italy
Francesco Gaetano Caltagirone,Italy
Simona Giorgetta,Italy
Veronica Squinzi,Italy
Marco Squinzi,Italy
Giuseppe De'Longhi & family,Italy
Manfredi Lefebvre d'Ovidio,Italy
Stefano Pessina,Italy
Leonardo Del Vecchio & family,Italy
Brunello Cucinelli & family,Italy
Renzo Rosso & family,Italy
Sandro Veronesi & family,Italy
Giuliana Benetton,Italy
Sabrina Benetton,Italy
Barbara Benetton,Italy
Luciano Benetton,Italy
John Elkann,Italy
Ennio Doris & family,Italy
Nerio Alessandri,Italy
Giorgio Armani,Italy
Patrizio Bertelli,Italy
Nicola Bulgari,Italy
Paolo Bulgari,Italy
Domenico Dolce,Italy
Stefano Gabbana,Italy
Miuccia Prada,Italy
Marina Prada,Italy
Alberto Prada,Italy
Luigi Cremonini & family,Italy
Silvio Berlusconi & family,Italy
Sergio Stevanato,Italy
Giovanni Ferrero,Italy
Maria Franca Fissolo,Italy
Massimo Moratti,Italy
Massimiliana Landini Aleotti & family,Italy
Paolo & Gianfelice Mario Rocca,Italy
Antonio Percassi,Italy
Diego Della Valle,Italy
Andrea Della Valle,Italy
Mario Moretti Polegato & family,Italy
Alessandra Garavoglia,Italy
Luca Garavoglia,Italy
Emma Marcegaglia,Italy
Antonio Marcegaglia,Italy
Marina Caprotti,Italy
Giuliana Caprotti,Italy
Enrico Preziosi,Italy
Romano Minozzi,Italy
Remo Ruffini,Italy
Ryuji Arai,Japan
Nobutada Saji,Japan
Kazuo Okada,Japan
Takanori Nakamura,Japan
Yuji Otsuka,Japan
Kazutoshi Kobayashi,Japan
Takao Kobayashi,Japan
Masanori Kobayashi,Japan
Hiroshi Okura & family,Japan
Satoshi Suzuki,Japan
Masateru Uno & family,Japan
Soichiro Fukutake,Japan
Tadashi Yanai & family,Japan
Itaru Tanimura,Japan
Akio Nitori,Japan
Masaaki Arai,Japan
Susumu Fujita,Japan
Masatoshi Kumagai,Japan
Taichiro Motoe,Japan
Masayoshi Son,Japan
Shirou Terashita,Japan
Masaru Wasami,Japan
Shintaro Yamada,Japan
Yasumitsu Shigeta,Japan
Shigenobu Nagamori,Japan
Yusaku Maezawa,Japan
Hiroshi Mikitani,Japan
Chang-Woo Han & family,Japan
Eiichi Kuriwada,Japan
Takahisa Takahara,Japan
Yoshiko Mori,Japan
Akira Mori & family,Japan
Katsumi Tada,Japan
Kentaro Ogawa,Japan
Masatoshi Ito,Japan
Muneaki Masuda,Japan
Nobutoshi Shimamura,Japan
Takao Yasuda,Japan
Takemitsu Takizaki,Japan
Masahiro Miki,Japan
Kenji Kasahara,Japan
Yoshikazu Tanaka,Japan
Masahiro Noda,Japan
Shigefumi Wada,Japan
Yoshiko Shinohara,Japan
Hiroshi Ishibashi,Japan
Yasuhiro Fukushima,Japan
Kagemasa Kozuki,Japan
Kenzo Tsujimoto,Japan
Hajime Satomi,Japan
Yoichi & Keiko Erikawa,Japan
Timur Kulibaev,Kazakhstan
Dinara Kulibaeva,Kazakhstan
Vyacheslav Kim,Kazakhstan
Vladimir Kim,Kazakhstan
Bulat Utemuratov,Kazakhstan
Ayman Hariri,Lebanon
Fahed Hariri,Lebanon
Robert Mouawad,Lebanon
Bahaa Hariri,Lebanon
Taha Mikati,Lebanon
Najib Mikati,Lebanon
Christoph Zeller,Liechtenstein
Hoi Kin Hong,Macao
Koon Poh Keong,Malaysia
Teh Hong Piow,Malaysia
Quek Leng Chan,Malaysia
Lim Kok Thay,Malaysia
Chen Lip Keong,Malaysia
Syed Mokhtar AlBukhary,Malaysia
Tan Eng Kee,Malaysia
Lau Cho Kun,Malaysia
Lee Yeow Chor & Yeow Seng,Malaysia
Robert Kuok,Malaysia
G. Gnanalingam,Malaysia
Jeffrey Cheah,Malaysia
Tan Yu Yeh,Malaysia
Tan Yu Wei,Malaysia
Kuan Kam Hon & family,Malaysia
Lim Wee Chai,Malaysia
Ananda Krishnan,Malaysia
Fernando Chico Pardo,Mexico
Carlos Hank Rhon,Mexico
Alfredo Harp Helu & family,Mexico
Roberto Hernandez Ramirez,Mexico
Maria Asuncion Aramburuzabala & family,Mexico
Antonio Del Valle Ruiz & family,Mexico
Alberto Bailleres Gonzalez & family,Mexico
German Larrea Mota Velasco & family,Mexico
Ricardo Salinas Pliego & family,Mexico
Rufino Vigil Gonzalez,Mexico
Carlos Slim Helu & family,Mexico
Juan Francisco Beckmann Vidal & family,Mexico
David Penaloza Alanis,Mexico
Emilio Azcarraga Jean,Mexico
Ezra Nahmad,Monaco
David Nahmad,Monaco
Lily Safra,Monaco
Othman Benjelloun & family,Morocco
Aziz Akhannouch & family,Morocco
Binod Chaudhary,Nepal
Hans Melchers,Netherlands
Jitse Groen,Netherlands
Charlene de Carvalho-Heineken & family,Netherlands
Wim van der Leegte,Netherlands
Arnout Schuijff,Netherlands
Pieter van der Does,Netherlands
Lesley Bamberger,Netherlands
Kommer Damen,Netherlands
Steven Schuurman,Netherlands
Frits Goldschmeding,Netherlands
John de Mol,Netherlands
Joop van den Ende,Netherlands
Richard Chandler,New Zealand
Graeme Hart,New Zealand
Aliko Dangote,Nigeria
Abdulsamad Rabiu,Nigeria
Mike Adenuga,Nigeria
Caroline Hagen Kjos,Norway
Stein Erik Hagen,Norway
Torstein Hagen,Norway
Gustav Magnar Witzoe,Norway
Johan Johannson,Norway
Andreas Halvorsen,Norway
Petter Stordalen & family,Norway
Alexandra Andresen,Norway
Katharina Andresen,Norway
Ivar Tollefsen,Norway
Odd Reitan & family,Norway
Kjell Inge Rokke,Norway
Suhail Bahwan,Oman
Eduardo Belmont Anderson,Peru
Carlos Rodriguez-Pastor,Peru
Eduardo Hochschild,Peru
Ana Maria Brescia Cafferata,Peru
Vito Rodriguez Rodriguez,Peru
Jorge Rodriguez Rodriguez,Peru
Ricardo Po Sr & family,Philippines
Ramon Ang,Philippines
Lance Gokongwei,Philippines
Roberto Ongpin,Philippines
Hans Sy,Philippines
Herbert Sy,Philippines
Teresita Sy-Coson,Philippines
Andrew Tan,Philippines
Inigo Zobel,Philippines
Elizabeth Sy,Philippines
Harley Sy,Philippines
Henry Sy Jr,Philippines
Lucio Tan,Philippines
Tony Tan Caktiong & family,Philippines
Enrique Razon Jr,Philippines
Robert Coyiuto Jr,Philippines
Manuel Villar,Philippines
Dominika Kulczyk,Poland
Sebastian Kulczyk,Poland
Michal Solowow,Poland
Rafal Brzoska,Poland
Jerzy Starak,Poland
Zbigniew Juroszek & family,Poland
Tomasz Biernacki,Poland
Zygmunt Solorz-Zak,Poland
Maria Fernanda Amorim & family,Portugal
José Neves,Portugal
Faisal Bin Qassim Al Thani,Qatar
Hamad bin Jassim bin Jaber Al Thani,Qatar
Ion Tiriac,Romania
Daniel Dines,Romania
Alexander Lutsenko & family,Russia
Lidiya Mikhailova & family,Russia
Ivan Savvidis,Russia
Vadim Moshkovich,Russia
Dmitry Kamenshchik,Russia
Yuri Shefler,Russia
Oleg Deripaska,Russia
Andrei Kosogov,Russia
Sergei Popov,Russia
Oleg Tinkov,Russia
Roman Avdeev,Russia
Yuri Kovalchuk,Russia
Sergei Kolesnikov,Russia
Igor Rybakov,Russia
Andrey Blokh,Russia
Lev Kvetnoi,Russia
Vladimir Litvinenko,Russia
Gennady Kozovoy,Russia
Andrey Melnichenko,Russia
Sergey Dmitriev,Russia
Valentin Kipyatkov,Russia
Andrei Molchanov,Russia
Arkady Rotenberg,Russia
Boris Rotenberg,Russia
Oleg Boyko,Russia
Tatyana Bakalchuk,Russia
Denis Sverdlov,Russia
Dmitry Rybolovlev,Russia
Viatcheslav Kantor,Russia
Andrei Guriev & family,Russia
Sergei Makhlai,Russia
Sergei Sudarikov,Russia
Vitaly Orlov,Russia
Leonid Mikhelson,Russia
Konstantin Strukov,Russia
Farkhad Akhmedov,Russia
Gleb Fetisov,Russia
Suleiman Kerimov & family,Russia
Pyotr Kondrashev,Russia
Anatoly Lomakin,Russia
Igor Makarov,Russia
Alexander Mamut,Russia
Mikhail Prokhorov,Russia
Megdet Rahimkulov & family,Russia
Andrei Rappoport,Russia
Leonid Simanovsky,Russia
Ilya Scherbovich,Russia
Elena Baturina,Russia
Sergei Studennikov,Russia
Andrei Komarov,Russia
Pavel Durov,Russia
Eduard Chukhlebov,Russia
Igor Kudryashkin,Russia
Igor Altushkin,Russia
Andrei Kozitsyn,Russia
Vladimir Potanin,Russia
Alexander Nesis,Russia
Viktor Vekselberg,Russia
Andrei Bokarev,Russia
Iskander Makhmudov,Russia
Alexander Frolov,Russia
Vagit Alekperov,Russia
Vladimir Bogdanov,Russia
Leonid Fedun & family,Russia
Igor Yusufov,Russia
Pyotr Aven,Russia
Mikhail Fridman,Russia
German Khan,Russia
Alexei Kuzmichev,Russia
Nikolai Buinov,Russia
Gennady Timchenko,Russia
Albert Avdolyan,Russia
Mikhail Gutseriev,Russia
Said Gutseriev,Russia
Dmitry Bukhman,Russia
Igor Bukhman,Russia
Viktor Kharitonin,Russia
Alexey Repik,Russia
Vadim Yakunin,Russia
Gavril Yushvaev,Russia
Zakhar Smushkin,Russia
Boris Zingarevich,Russia
Aras Agalarov,Russia
Vasily Anisimov,Russia
Sergei Gordeev,Russia
Zarakh Iliev,Russia
Samvel Karapetyan,Russia
Alexander Klyachin,Russia
Vladimir Leschikov,Russia
God Nisanov,Russia
Alexander Svetakov,Russia
Alexander Ponomarenko,Russia
Alexander Skorobogatko,Russia
Airat Shaimiev,Russia
Radik Shaimiev,Russia
Albert Shigaboutdinov,Russia
Rustem Sulteev,Russia
Sergei Galitsky,Russia
Artem Khachatryan,Russia
Sergey Lomakin,Russia
Sergei Katsiev,Russia
Arkady Volozh,Russia
Eugene Kaspersky,Russia
Viktor Rashnikov,Russia
Andrei Skoch & family,Russia
Dmitry Pumpyansky,Russia
Anatoly Sedykh,Russia
Roman Abramovich,Russia
Alexey Mordashov & family,Russia
Alexander Abramov,Russia
Alisher Usmanov,Russia
Vladimir Lisin,Russia
Timur Turlov,Russia
Vladimir Yevtushenkov,Russia
Mikhail Shelkov,Russia
Igor Kesaev,Russia
Roman Trotsenko,Russia
Leonid Boguslavsky,Russia
Wee Cho Yaw,Singapore
Kwek Leng Beng,Singapore
Kwek Leng Kee,Singapore
Kwek Leng Peck,Singapore
Jason Chang,Singapore
Sam Goi,Singapore
Forrest Li,Singapore
Gang Ye,Singapore
Choo Chong Ngen,Singapore
Peter Lim,Singapore
Oei Hong Leong,Singapore
Yao Hsiao Tung,Singapore
Li Xiting,Singapore
David Chen,Singapore
Goh Cheng Liang,Singapore
Kuok Khoon Hong,Singapore
Zhao Tao,Singapore
Chua Thian Poh,Singapore
Asok Kumar Hiranandani,Singapore
Raj Kumar & Kishin RK,Singapore
Robert & Philip Ng,Singapore
Zhong Sheng Jian,Singapore
Kwee brothers,Singapore
Shu Ping,Singapore
Zhang Yong,Singapore
Ron Sim,Singapore
Shi Xu,Singapore
Jaroslav Hascak,Slovakia
Ivan Chrenko,Slovakia
Michiel Le Roux,South Africa
Nicky Oppenheimer & family,South Africa
Koos Bekker,South Africa
Patrice Motsepe,South Africa
Kim Chang-soo,South Korea
Seo Jung-jin,South Korea
Chey Ki-won,South Korea
Kim Sang-yeol,South Korea
Lee Joong-keun,South Korea
Hong Seok-joh,South Korea
Kim Jung-woong,South Korea
Suh Kyung-bae,South Korea
Kim Jun-ki,South Korea
Lee Ho-jin,South Korea
Chang Pyung-soon,South Korea
Huh Jae-myung,South Korea
Koo Bon-neung,South Korea
Koo Bon-joon,South Korea
Bang Shi-hyuk,South Korea
Cho Jung-ho,South Korea
Kim Nam-jung,South Korea
Lee Jay-hyun,South Korea
Mong-Koo Chung,South Korea
Euisun Chung,South Korea
Shin Chang-jae,South Korea
Lee Hae-jin,South Korea
Koo Kwang-mo,South Korea
Koo Bon-sik,South Korea
Kim Dae-il,South Korea
Park Hyeon-joo,South Korea
Chey Tae-won,South Korea
Kim Jung-ju,South Korea
Kim Taek-jin,South Korea
Kwon Hyuk-bin,South Korea
Lee Joon-ho,South Korea
Bang Jun-hyuk,South Korea
Kim Beom-su,South Korea
Shin Dong-guk,South Korea
Gim Seong-gon,South Korea
Chung Yong-jin,South Korea
Shin Dong-joo,South Korea
Hong Ra-hee,South Korea
Lee Boo-jin,South Korea
Lee Seo-hyun,South Korea
Jay Y. Lee,South Korea
Chung Mong-joon,South Korea
Manuel Lao Hernandez,Spain
Sol Daurella,Spain
Carmen Daurella Aguilera,Spain
Maria Del Pino,Spain
Rafael Del Pino,Spain
Jose Llado Fernandez-Urrutia,Spain
Florentino Perez,Spain
Juan-Miguel Villar Mir & family,Spain
D. Leopoldo Del Pino,Spain
Alicia Koplowitz,Spain
Isak Andic & family,Spain
Gabriel Escarrer,Spain
Miguel Fluxa Rossello,Spain
Juan Abello,Spain
Alberto Alcocer,Spain
Alberto Cortina,Spain
Daniel Mate,Spain
Jorge Gallardo Ballart,Spain
Antonio Gallardo Ballart,Spain
Juan Lopez-Belmonte Lopez & family,Spain
Helena Revoredo,Spain
Tomas Olivo Lopez,Spain
Jose Maria Aristrain,Spain
Francisco Jose Riberas Mera,Spain
Juan Maria Riberas Mera,Spain
Hortensia Herrero,Spain
Juan Roig,Spain
Fernando Roig,Spain
Alberto Palatchi,Spain
Jose Elias,Spain
Amancio Ortega,Spain
Sandra Ortega Mera,Spain
Myron Wentz,St. Kitts and Nevis
Thomas von Koch,Sweden
Conni Jonsson,Sweden
Markus Persson,Sweden
Mats Paulsson & family,Sweden
Erik Paulsson & family,Sweden
Ali Ghodsi,Sweden
Antonia Ax:son Johnson & family,Sweden
Dan Olsson,Sweden
Stefan Olsson,Sweden
Madeleine Olsson Ericksson,Sweden
Bertil Hult,Sweden
Victor Jacobsson,Sweden
Sebastian Siemiatkowski,Sweden
Stefan Persson,Sweden
Karl-Johan Persson,Sweden
Tom Persson,Sweden
Charlotte Soderstrom,Sweden
Lottie Tham & family,Sweden
Frederik Paulsen,Sweden
Thomas Sandell,Sweden
Peter Kamprad,Sweden
Mathias Kamprad,Sweden
Jonas Kamprad,Sweden
Carl Bennet,Sweden
Gustaf Douglas,Sweden
Eric Douglas,Sweden
Carl Douglas,Sweden
Louise Lindh,Sweden
Katarina Martinson,Sweden
Melker Schorling & family,Sweden
Torbjorn Tornqvist,Sweden
Kirsten Rausing,Sweden
Jorn Rausing,Sweden
Finn Rausing,Sweden
Jenny Lindén Urnes,Sweden
David Mindus,Sweden
Erik Selin,Sweden
Fredrik Lundberg,Sweden
Daniel Ek,Sweden
Martin Lorentzon,Sweden
Lars Wingefors,Sweden
Thomas Meyer,Switzerland
Esther Grether,Switzerland
Peter Grogg,Switzerland
Dona Bertarelli,Switzerland
Ernesto Bertarelli,Switzerland
Walter Frey,Switzerland
Thomas Schmidheiny,Switzerland
Miriam Baumann-Blocher,Switzerland
Rahel Blocher,Switzerland
Markus Blocher,Switzerland
Magdalena Martullo-Blocher,Switzerland
Margarita Louis-Dreyfus & family,Switzerland
Gary Fegel,Switzerland
Thomas Straumann,Switzerland
Werner O. Weber,Switzerland
Matthias Reinhart,Switzerland
Guillaume Pousaz,Switzerland
Hans Peter Wild,Switzerland
Beda Diethelm,Switzerland
Martin Ebner,Switzerland
Stephan Schmidheiny,Switzerland
Karl Scheufele III & family,Switzerland
Michael Pieper,Switzerland
Rudolf Maag,Switzerland
Willy Michel,Switzerland
Alberto Siccardi & family,Switzerland
Hansjoerg Wyss,Switzerland
Ivan Glasenberg,Switzerland
Jean-Paul Clozel,Switzerland
Mario Germano Giuliani,Switzerland
Giammaria Giuliani,Switzerland
Maja Oeri,Switzerland
Marcel Erni,Switzerland
Alfred Gantner,Switzerland
Urs Wietlisbach,Switzerland
Georg von Opel,Switzerland
Gianluigi & Rafaela Aponte,Switzerland
Eva Maria Bucher-Haefner,Switzerland
Martin Haefner,Switzerland
Peter Spuhler,Switzerland
Sergio Mantegazza,Switzerland
Chin Jong Hwa,Taiwan
Xie Weitong,Taiwan
Douglas Hsu,Taiwan
Wu Li-gann,Taiwan
Pierre Chen,Taiwan
Tony Chen,Taiwan
Bruce Cheng,Taiwan
Terry Gou,Taiwan
Barry Lam,Taiwan
Rudy Ma,Taiwan
Richard Tsai,Taiwan
Daniel Tsai,Taiwan
Tsai Cheng-ta,Taiwan
Tsai Hong-tu,Taiwan
T.Y. Tsai,Taiwan
Thomas Wu,Taiwan
Eugene Wu,Taiwan
Andre Koo Sr,Taiwan
Tsai Eng-meng,Taiwan
Wei Ying-Chiao,Taiwan
Wei Ing-Chou,Taiwan
Wei Yin-Heng,Taiwan
Wei Yin-Chun,Taiwan
Wang Chou-hsiong,Taiwan
Chen Tei-fu,Taiwan
K.C. Liu,Taiwan
Wu Chung-yi,Taiwan
Yeh Kuo-I,Taiwan
Scott Lin,Taiwan
Lin Shu-hong,Taiwan
Tseng Sing-ai,Taiwan
Tseng Cheng,Taiwan
Shi Wen-long,Taiwan
Chao Teng-hsiung,Taiwan
Chen Yung-tai,Taiwan
Lin Chen-hai,Taiwan
Richard Chang,Taiwan
Wang Ren-sheng,Taiwan
Samuel Yin,Taiwan
Morris Chang,Taiwan
Cho Jyh-jer,Taiwan
Archie Hwang,Taiwan
Tsai Ming-kai,Taiwan
Tsai Chi-jui,Taiwan
Lin Ming-hsiung,Taiwan
Mohammed Dewji,Tanzania
Charoen Sirivadhanabhakdi,Thailand
Chatchai Kaewbootta,Thailand
Prayudh Mahagitsiri,Thailand
Dhanin Chearavanont,Thailand
Manas Chiaravanond,Thailand
Jaran Chiaravanont,Thailand
Kiat Chiaravanont,Thailand
Phongthep Chiaravanont,Thailand
Prathip Chiravanond,Thailand
Sumet Jiaravanon,Thailand
Montri Jiaravanont,Thailand
Harald Link,Thailand
Sarath Ratanavadi,Thailand
Sathien Setthasit,Thailand
Nutchamai Thanombooncharoen,Thailand
Niti Osathanugrah,Thailand
Prasert Prasarttong-Osoth,Thailand
William Heinecke,Thailand
Vanich Chaiyawan,Thailand
Thaksin Shinawatra,Thailand
Wichai Thongtang,Thailand
Krit Ratanarak,Thailand
Chuchat Petaumpai & Daonapa Petampai,Thailand
Prachak Tangkaravakoon,Thailand
Anant Asavabhokin,Thailand
Thongma Vijitpongpun,Thailand
Somphote Ahunai,Thailand
Rit Thirakomen,Thailand
Surin Upatkoon,Thailand
Keeree Kanjanapas,Thailand
Vonnarat Tangkaravakoon,Thailand
Ibrahim Erdemoglu,Turkey
Ali Erdemoglu,Turkey
Erman Ilicak,Turkey
Mehmet Sinan Tara,Turkey
Hamdi Akin & family,Turkey
Semahat Sevim Arsel,Turkey
Turgay Ciner,Turkey
Ipek Kirac,Turkey
Mustafa Rahmi Koc,Turkey
Filiz Sahenk,Turkey
Deniz Sahenk,Turkey
Ferit Faik Sahenk,Turkey
Ahmet Nazif Zorlu,Turkey
Sezai Bacaksiz,Turkey
Nihat Ozdemir,Turkey
Ahmet Calik,Turkey
Sefik Yilmaz Dizdar,Turkey
Mustafa Kucuk,Turkey
Husnu Ozyegin,Turkey
Murat Ulker,Turkey
Hamdi Ulukaya,Turkey
Mehmet Aydinlar,Turkey
Aydin Dogan,Turkey
Bulent Eczacibasi,Turkey
Faruk Eczacibasi,Turkey
Murat Vargi,Turkey
Mehmet Nazif Gunal,Turkey
Henadiy Boholyubov,Ukraine
Ihor Kolomoyskyy,Ukraine
Petro Poroshenko,Ukraine
Kostyantin Zhevago,Ukraine
Vadim Novinsky,Ukraine
Victor Pinchuk,Ukraine
Rinat Akhmetov,Ukraine
Abdulla Al Futtaim & family,United Arab Emirates
Abdulla bin Ahmad Al Ghurair & family,United Arab Emirates
Hussain Sajwani,United Arab Emirates
Majid Al Futtaim & family,United Arab Emirates
Andrew Currie,United Kingdom
James Ratcliffe,United Kingdom
John Reece,United Kingdom
Mohammed Ibrahim,United Kingdom
Anthony Bamford & family,United Kingdom
Saket Burman,United Kingdom
Laurence Graff & family,United Kingdom
Hinduja brothers,United Kingdom
Farhad Moshiri,United Kingdom
Dennis Gillings,United Kingdom
Matt Moulding,United Kingdom
Geeta Gupta-Fisker,United Kingdom
Hilton Schlosberg,United Kingdom
Ian Wood & family,United Kingdom
Philip & Cristina Green,United Kingdom
Bernard Lewis & family,United Kingdom
Mark Coombs,United Kingdom
David Harding,United Kingdom
Peter Hargreaves,United Kingdom
Nik Storonsky,United Kingdom
Bernard Ecclestone & family,United Kingdom
Christopher Rokos,United Kingdom
Christopher Hohn,United Kingdom
Alan Howard,United Kingdom
Michael Platt,United Kingdom
Bill and Jean Adderley & family,United Kingdom
Jasminder Singh & family,United Kingdom
Peter Kelly,United Kingdom
Joe Lewis,United Kingdom
David Reuben,United Kingdom
David McMurtry,United Kingdom
Anthony Langley,United Kingdom
Alex Beard,United Kingdom
John Caudwell,United Kingdom
Charles Dunstone,United Kingdom
Mark Dixon,United Kingdom
Andrey Andreev,United Kingdom
Denise Coates,United Kingdom
John Coates,United Kingdom
Simon Nixon,United Kingdom
Richard Desmond,United Kingdom
Maritsa Lazari & family,United Kingdom
Ian & Richard Livingstone,United Kingdom
Eddie & Sol Zakay,United Kingdom
Simon Reuben,United Kingdom
John Bloor,United Kingdom
Clive Calder,United Kingdom
Robert Miller,United Kingdom
Tom Morris,United Kingdom
Michael Ashcroft,United Kingdom
Stephen Rubin,United Kingdom
Michael Ashley,United Kingdom
Michael Spencer,United Kingdom
Kenneth Lo,United Kingdom
James Dyson,United Kingdom
Richard Branson,United Kingdom
Eren Ozmen,United States
Fatih Ozmen,United States
Harry Stine,United States
Stewart and Lynda Resnick,United States
Nathan Blecharczyk,United States
Brian Chesky,United States
